STATION_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE
S98_03699,23.071,90.256,1994.0,STW,25.0,Dhaka,Madaripur,Kalkini,Shikar Mangal,Shikar Mangal,3544094896
S98_03700,23.069,90.244,1994.0,DTW,276.0,Dhaka,Madaripur,Kalkini,Kalkini,Pangazia,3544050681
S98_03701,23.073,90.238,1984.0,STW,25.0,Dhaka,Madaripur,Kalkini,Kalkini,Jhautala,3544050491
S98_03702,23.084,90.127,1996.0,DTW,266.0,Dhaka,Madaripur,Kalkini,Nabagram,Dakshin Shagirka,3544075399
S98_03703,23.07,90.182,1994.0,STW,52.0,Dhaka,Madaripur,Kalkini,Kazibazar,Dakshin Bhautali,3544063325
S98_03704,23.072,90.214,1986.0,STW,22.0,Dhaka,Madaripur,Kalkini,Gopalpur,Majidbari,3544044657
S98_03705,23.102,90.191,1993.0,STW,19.0,Dhaka,Madaripur,Kalkini,Baligram,Pathuriapara,3544012761
S98_03706,23.217,90.499,1993.0,STW,29.0,Dhaka,Shariatpur,Bhedarganj,Digar Mahiskhali,Char Chanda,3861443174
S98_03707,23.197,90.49,1979.0,STW,39.0,Dhaka,Shariatpur,Bhedarganj,Char Kumuria,U.Char Kumuria,3861417994
S98_03708,23.196,90.45,1975.0,STW,33.0,Dhaka,Shariatpur,Bhedarganj,Mahisar,Gaidya,3861460405
S98_03709,23.195,90.449,1990.0,DTW,249.0,Dhaka,Shariatpur,Bhedarganj,Mahisar,Gaidya,3861460405
S98_03710,23.182,90.458,1992.0,STW,52.0,Dhaka,Shariatpur,Bhedarganj,Narayanpur,Ikarkandi,3861469513
S98_03711,23.189,90.419,1991.0,STW,39.0,Dhaka,Shariatpur,Bhedarganj,Chaygaon,Lakarta,3861425612
S98_03712,23.302,90.412,1994.0,DTW,273.0,Dhaka,Shariatpur,Naria,Naria,Naria,3866575759
